entity_id,severity,urgency,safety_risk,traffic_density,speed_class,deadline_proximity,criticality_target,split
usfd_003_v7,SEVERE,0.959,0.8241,0.4498,EXPRESS,0.4,0.533681,train
usfd_003_v8,SEVERE,0.8262,0.6806,0.7554,EXPRESS,0.4,0.523704,train
usfd_003_v9,SEVERE,0.9269,0.7861,0.3306,EXPRESS,0.4,0.516825,train
usfd_004_v0,MODERATE,0.8447,0.9358,0.8432,EXPRESS,0.4,0.531198,train
usfd_004_v1,MODERATE,0.9139,0.8956,0.7505,HIGH,0.4,0.519871,train
usfd_004_v2,MODERATE,0.9566,0.7338,0.676,EXPRESS,0.4,0.512222,train
usfd_004_v3,MODERATE,0.9308,0.8451,0.5917,HIGH,0.4,0.50433,train
usfd_004_v4,MODERATE,1.0,0.8046,0.5765,EXPRESS,0.4,0.518449,train
usfd_004_v5,MODERATE,1.0,0.7602,0.4964,EXPRESS,0.4,0.507609,train
usfd_004_v6,MODERATE,0.9451,0.8535,0.4201,HIGH,0.4,0.494761,train
usfd_004_v7,MODERATE,0.9811,0.8377,0.4638,HIGH,0.4,0.501466,train
usfd_004_v8,MODERATE,0.857,0.8462,0.5833,EXPRESS,0.4,0.50264,train
usfd_004_v9,MODERATE,1.0,0.7642,0.4669,EXPRESS,0.4,0.505917,train
usfd_005_v0,MODERATE,0.8614,0.5165,0.8659,EXPRESS,0.4,0.492455,train
usfd_005_v1,MODERATE,1.0,0.6215,0.4479,HIGH,0.4,0.479378,train
usfd_005_v2,MODERATE,0.9135,0.5447,0.5585,EXPRESS,0.4,0.477055,train
usfd_005_v3,MODERATE,1.0,0.6868,0.4111,EXPRESS,0.4,0.493467,train
usfd_005_v4,MODERATE,0.8914,0.6323,0.5912,HIGH,0.4,0.476332,train
usfd_005_v5,MODERATE,0.9777,0.5444,0.4832,HIGH,0.4,0.470456,train
usfd_005_v6,MODERATE,0.9164,0.6623,0.5919,HIGH,0.4,0.482907,train
usfd_005_v7,MODERATE,1.0,0.6272,0.7593,EXPRESS,0.4,0.513512,train
usfd_005_v8,MODERATE,1.0,0.4933,0.686,HIGH,0.4,0.483289,train
usfd_005_v9,MODERATE,0.9662,0.5017,0.5233,EXPRESS,0.4,0.476713,train
usfd_006_v0,MODERATE,0.1336,0.7768,0.739,EXPRESS,0.0,0.398397,train
usfd_006_v1,MODERATE,0.3598,0.7891,0.6593,EXPRESS,0.0,0.418227,train
usfd_006_v2,MODERATE,0.1072,0.6493,0.8244,EXPRESS,0.0,0.393254,train
usfd_006_v3,MODERATE,0.2601,0.7696,0.4598,EXPRESS,0.0,0.394989,train
usfd_006_v4,MODERATE,0.1907,0.7605,0.6199,EXPRESS,0.0,0.395931,train
usfd_006_v5,MODERATE,0.1492,0.6272,0.675,EXPRESS,0.0,0.386449,train
usfd_006_v6,MODERATE,0.1264,0.644,0.7931,HIGH,0.0,0.383638,train
usfd_006_v7,MODERATE,0.2727,0.7139,0.6046,EXPRESS,0.0,0.400188,train
usfd_006_v8,MODERATE,0.1955,0.7769,0.6387,EXPRESS,0.0,0.398594,train
usfd_006_v9,MODERATE,0.1873,0.6992,0.7056,EXPRESS,0.0,0.396565,train
usfd_007_v0,MINOR,0.3959,0.5204,0.4794,EXPRESS,0.0,0.364783,train
usfd_007_v1,MINOR,0.6196,0.5392,0.3597,HIGH,0.0,0.377266,train
usfd_007_v2,MINOR,0.3836,0.5267,0.6827,EXPRESS,0.0,0.375105,train
usfd_007_v3,MINOR,0.4687,0.4015,0.6639,EXPRESS,0.0,0.372612,train
usfd_007_v4,MINOR,0.4668,0.5374,0.712,HIGH,0.0,0.379785,train
usfd_007_v5,MINOR,0.5761,0.3999,0.5958,EXPRESS,0.0,0.379082,train
usfd_007_v6,MINOR,0.3522,0.3931,0.3732,EXPRESS,0.0,0.346567,train
usfd_007_v7,MINOR,0.4454,0.461,0.6174,HIGH,0.0,0.366309,train
usfd_007_v8,MINOR,0.4722,0.3928,0.6458,EXPRESS,0.0,0.371228,train
usfd_007_v9,MINOR,0.5831,0.3885,0.4998,HIGH,0.0,0.367633,train
usfd_008_v0,SEVERE,0.8009,0.4542,0.7466,HIGH,0.4,0.484501,train
usfd_008_v1,SEVERE,0.9924,0.3555,0.3756,HIGH,0.4,0.46967,train
usfd_008_v2,SEVERE,1.0,0.4508,0.59,EXPRESS,0.4,0.509069,train
usfd_008_v3,SEVERE,0.9998,0.3296,0.4227,EXPRESS,0.4,0.483464,train
usfd_008_v4,SEVERE,1.0,0.4292,0.836,EXPRESS,0.4,0.526722,train
usfd_008_v5,SEVERE,0.9104,0.3199,0.4129,EXPRESS,0.1,0.457894,train
usfd_008_v6,SEVERE,0.8975,0.4241,0.4336,EXPRESS,0.4,0.481721,train
usfd_008_v7,SEVERE,1.0,0.4652,0.696,EXPRESS,0.4,0.518989,train
usfd_008_v8,SEVERE,0.8059,0.4173,0.6246,EXPRESS,0.4,0.484091,train
usfd_008_v9,SEVERE,1.0,0.4728,0.696,HIGH,0.4,0.507334,train
usfd_009_v0,CRITICAL,1.0,0.9116,0.8406,EXPRESS,0.1,0.584299,train
usfd_009_v1,CRITICAL,1.0,0.9521,0.4938,EXPRESS,0.1,0.566222,train
usfd_009_v2,CRITICAL,0.8946,0.8647,0.449,EXPRESS,0.1,0.538697,train
usfd_009_v3,CRITICAL,1.0,1.0,0.4834,EXPRESS,0.1,0.570789,train
usfd_009_v4,CRITICAL,0.9359,1.0,0.7062,EXPRESS,0.1,0.57481,train
usfd_009_v5,CRITICAL,0.9277,1.0,0.4432,EXPRESS,0.1,0.557424,train
usfd_009_v6,CRITICAL,0.866,0.9769,0.6632,EXPRESS,0.1,0.559172,train
usfd_009_v7,CRITICAL,1.0,0.9623,0.5258,EXPRESS,0.1,0.569204,train
usfd_009_v8,CRITICAL,0.9011,1.0,0.4924,EXPRESS,0.1,0.556228,train
usfd_009_v9,CRITICAL,1.0,1.0,0.6685,EXPRESS,0.1,0.582094,train
usfd_010_v0,CRITICAL,0.8974,0.824,0.7753,EXPRESS,0.4,0.573229,train
usfd_010_v1,CRITICAL,1.0,0.924,0.5097,EXPRESS,0.4,0.578203,train
usfd_010_v2,CRITICAL,0.908,0.8605,0.5078,HIGH,0.4,0.542983,train
usfd_010_v3,CRITICAL,0.9709,0.9981,0.6605,EXPRESS,0.4,0.592873,train
usfd_010_v4,CRITICAL,0.9577,0.8402,0.7287,HIGH,0.4,0.565013,train
usfd_010_v5,CRITICAL,0.9389,0.866,0.6216,EXPRESS,0.1,0.555688,train
usfd_010_v6,CRITICAL,0.9161,0.8527,0.5788,EXPRESS,0.4,0.56341,train
usfd_010_v7,CRITICAL,1.0,0.8139,0.4235,EXPRESS,0.4,0.560267,train
usfd_010_v8,CRITICAL,0.9619,0.847,0.8369,EXPRESS,0.4,0.589874,train
usfd_010_v9,CRITICAL,1.0,0.8549,0.4692,HIGH,0.4,0.553108,train
usfd_011_v0,CRITICAL,0.8288,1.0,0.8542,HIGH,0.7,0.59162,train
usfd_011_v1,CRITICAL,0.9811,0.9289,0.6729,EXPRESS,0.7,0.60404,train
usfd_011_v2,CRITICAL,0.8286,1.0,0.3966,EXPRESS,0.7,0.565382,train
usfd_011_v3,CRITICAL,1.0,0.9413,0.5644,HIGH,0.7,0.584139,train
usfd_011_v4,CRITICAL,0.9999,0.9936,0.5344,HIGH,0.7,0.587131,train
usfd_011_v5,CRITICAL,1.0,0.9813,0.7149,EXPRESS,0.4,0.599701,train
usfd_011_v6,CRITICAL,0.9129,1.0,0.7509,EXPRESS,0.7,0.608434,train
usfd_011_v7,CRITICAL,1.0,0.991,0.7266,EXPRESS,0.7,0.618114,train
usfd_011_v8,CRITICAL,0.9853,1.0,0.7042,HIGH,0.7,0.600548,train
usfd_011_v9,CRITICAL,0.8893,1.0,0.7007,EXPRESS,0.7,0.600404,train
usfd_012_v0,SEVERE,0.7704,0.2749,0.5453,EXPRESS,0.4,0.459903,train
usfd_012_v1,SEVERE,0.7567,0.298,0.4497,HIGH,0.4,0.441379,train
usfd_012_v2,SEVERE,0.7865,0.3313,0.42,EXPRESS,0.4,0.45823,train
usfd_012_v3,SEVERE,0.8102,0.3032,0.4771,EXPRESS,0.4,0.462133,train
usfd_012_v4,SEVERE,0.8372,0.3068,0.7926,EXPRESS,0.4,0.490236,train
usfd_012_v5,SEVERE,0.8637,0.2661,0.3967,EXPRESS,0.1,0.446048,train
usfd_012_v6,SEVERE,0.8248,0.4107,0.562,EXPRESS,0.4,0.480875,train
usfd_012_v7,SEVERE,0.8111,0.3107,0.4826,HIGH,0.4,0.450972,train
usfd_012_v8,SEVERE,0.7246,0.1958,0.6488,EXPRESS,0.4,0.455307,train
usfd_012_v9,SEVERE,0.777,0.253,0.5813,HIGH,0.4,0.448777,train
usfd_013_v0,MODERATE,0.5693,0.5554,0.608,EXPRESS,0.0,0.419598,train
usfd_013_v1,MODERATE,0.4865,0.6485,0.3847,EXPRESS,0.0,0.406368,train
usfd_013_v2,MODERATE,0.4321,0.5958,0.4151,EXPRESS,0.0,0.397818,train
usfd_013_v3,MODERATE,0.6627,0.6258,0.6312,EXPRESS,0.0,0.437999,train
usfd_013_v4,MODERATE,0.4805,0.5364,0.4582,EXPRESS,0.0,0.400311,train
usfd_013_v5,MODERATE,0.72,0.59,0.5905,EXPRESS,0.0,0.439194,train
usfd_013_v6,MODERATE,0.5764,0.7008,0.7102,HIGH,0.0,0.429854,train
usfd_013_v7,MODERATE,0.4849,0.5505,0.3809,EXPRESS,0.0,0.398068,train
usfd_013_v8,MODERATE,0.5554,0.5636,0.7302,EXPRESS,0.0,0.42613,train
usfd_013_v9,MODERATE,0.5203,0.6714,0.6296,HIGH,0.0,0.415955,train
usfd_014_v0,MODERATE,0.4766,0.6429,0.535,HIGH,0.4,0.422438,train
usfd_014_v1,MODERATE,0.5026,0.6116,0.5304,EXPRESS,0.4,0.431698,train
usfd_014_v2,MODERATE,0.2982,0.5581,0.6226,HIGH,0.4,0.403888,train
usfd_014_v3,MODERATE,0.5254,0.6201,0.6119,HIGH,0.4,0.431706,train
usfd_014_v4,MODERATE,0.5161,0.5765,0.6306,EXPRESS,0.4,0.437751,train
usfd_014_v5,MODERATE,0.4289,0.5212,0.5082,EXPRESS,0.4,0.414896,train
usfd_014_v6,MODERATE,0.3053,0.6422,0.626,EXPRESS,0.4,0.420174,train
usfd_014_v7,MODERATE,0.5098,0.5071,0.6653,EXPRESS,0.4,0.433915,train
usfd_014_v8,MODERATE,0.3448,0.5816,0.707,EXPRESS,0.4,0.425987,train
usfd_014_v9,MODERATE,0.4445,0.5962,0.4791,EXPRESS,0.4,0.420436,train
usfd_015_v0,SEVERE,0.8694,0.3673,0.8031,HIGH,0.4,0.488607,train
usfd_015_v1,SEVERE,0.8765,0.3958,0.3419,EXPRESS,0.4,0.469944,train
usfd_015_v2,SEVERE,0.7136,0.3624,0.6495,EXPRESS,0.4,0.470083,train
usfd_015_v3,SEVERE,0.9413,0.4902,0.4409,HIGH,0.4,0.482272,train
usfd_015_v4,SEVERE,0.8975,0.3371,0.7384,EXPRESS,0.4,0.495887,train
usfd_015_v5,SEVERE,0.912,0.4581,0.5888,EXPRESS,0.1,0.483057,train
usfd_015_v6,SEVERE,0.6923,0.3943,0.6071,EXPRESS,0.4,0.46744,train
usfd_015_v7,SEVERE,0.8696,0.4147,0.5428,EXPRESS,0.4,0.485236,train
usfd_015_v8,SEVERE,0.849,0.3862,0.7315,HIGH,0.4,0.482133,train
usfd_015_v9,SEVERE,0.7903,0.3741,0.4074,HIGH,0.4,0.449618,train
usfd_016_v0,SEVERE,0.9586,0.7024,0.6257,HIGH,0.4,0.521132,train
usfd_016_v1,SEVERE,1.0,0.7153,0.6415,HIGH,0.4,0.529628,train
usfd_016_v2,SEVERE,0.8541,0.5588,0.5227,HIGH,0.4,0.484162,train
usfd_016_v3,SEVERE,0.8934,0.6568,0.5414,EXPRESS,0.4,0.513375,train
usfd_016_v4,SEVERE,0.9628,0.6595,0.6022,EXPRESS,0.4,0.527745,train
usfd_016_v5,SEVERE,1.0,0.6945,0.6613,EXPRESS,0.4,0.541346,train
usfd_016_v6,SEVERE,0.8742,0.5603,0.8081,EXPRESS,0.4,0.522106,train
usfd_016_v7,SEVERE,1.0,0.6001,0.4613,EXPRESS,0.4,0.51596,train
usfd_016_v8,SEVERE,0.8429,0.5498,0.7768,EXPRESS,0.4,0.514373,train
usfd_016_v9,SEVERE,1.0,0.5737,0.7374,EXPRESS,0.4,0.534261,train
usfd_017_v0,MINOR,0.5398,0.5551,0.7008,EXPRESS,0.4,0.416126,train
usfd_017_v1,MINOR,0.6164,0.678,0.4939,EXPRESS,0.4,0.420016,train
usfd_017_v2,MINOR,0.4963,0.628,0.7508,HIGH,0.4,0.415106,train
usfd_017_v3,MINOR,0.4606,0.6421,0.4346,HIGH,0.4,0.389041,train
usfd_017_v4,MINOR,0.368,0.4805,0.6719,EXPRESS,0.4,0.390414,train
usfd_017_v5,MINOR,0.4799,0.5263,0.6545,EXPRESS,0.4,0.403779,train
usfd_017_v6,MINOR,0.515,0.6948,0.6869,EXPRESS,0.4,0.424008,train
usfd_017_v7,MINOR,0.5687,0.6667,0.5418,EXPRESS,0.4,0.416861,train
usfd_017_v8,MINOR,0.5054,0.6617,0.8224,HIGH,0.4,0.424808,train
usfd_017_v9,MINOR,0.4498,0.5715,0.6713,EXPRESS,0.4,0.405554,train
usfd_018_v0,CRITICAL,0.8593,0.8649,0.785,EXPRESS,0.4,0.572832,train
usfd_018_v1,CRITICAL,0.9701,0.9088,0.4217,HIGH,0.7,0.564161,train
usfd_018_v2,CRITICAL,0.8937,0.8745,0.4897,HIGH,0.7,0.55504,train
usfd_018_v3,CRITICAL,1.0,1.0,0.6196,EXPRESS,0.7,0.609575,train
usfd_018_v4,CRITICAL,1.0,0.9445,0.6174,HIGH,0.7,0.589114,train
usfd_018_v5,CRITICAL,1.0,0.9041,0.6502,EXPRESS,0.7,0.602185,train
usfd_018_v6,CRITICAL,0.9305,0.967,0.5863,HIGH,0.7,0.578372,train
usfd_018_v7,CRITICAL,0.9335,0.8767,0.6576,EXPRESS,0.7,0.59036,train
usfd_018_v8,CRITICAL,0.8692,0.9487,0.6249,EXPRESS,0.7,0.585536,train
usfd_018_v9,CRITICAL,1.0,0.95,0.5715,EXPRESS,0.7,0.600164,train
usfd_019_v0,CRITICAL,0.9176,1.0,0.6534,EXPRESS,0.1,0.568604,train
usfd_019_v1,CRITICAL,1.0,0.8985,0.537,HIGH,0.1,0.548164,train
usfd_019_v2,CRITICAL,0.9268,0.9413,0.6219,EXPRESS,0.1,0.561845,train
usfd_019_v3,CRITICAL,0.9489,0.9298,0.7428,EXPRESS,0.1,0.571849,train
usfd_019_v4,CRITICAL,1.0,0.8143,0.881,EXPRESS,0.1,0.576783,train
usfd_019_v5,CRITICAL,0.9574,0.8217,0.5921,EXPRESS,0.1,0.551816,train
usfd_019_v6,CRITICAL,1.0,1.0,0.5563,HIGH,0.1,0.560367,train
usfd_019_v7,CRITICAL,1.0,0.8897,0.6584,EXPRESS,0.1,0.569589,train
usfd_019_v8,CRITICAL,0.9056,0.9569,0.8838,HIGH,0.1,0.563505,train
usfd_019_v9,CRITICAL,1.0,0.8967,0.7405,EXPRESS,0.1,0.575766,train
usfd_020_v0,MODERATE,0.601,0.6828,0.7105,EXPRESS,0.1,0.446194,train
usfd_020_v1,MODERATE,0.6742,0.5815,0.8082,HIGH,0.1,0.443108,train
usfd_020_v2,MODERATE,0.4617,0.5974,0.8796,EXPRESS,0.1,0.434852,train
usfd_020_v3,MODERATE,0.4857,0.6177,0.618,EXPRESS,0.1,0.421346,train
usfd_020_v4,MODERATE,0.5204,0.5711,0.7287,HIGH,0.1,0.419188,train
usfd_020_v5,MODERATE,0.6174,0.5944,0.5734,EXPRESS,0.4,0.446465,train
usfd_020_v6,MODERATE,0.5687,0.651,0.8046,EXPRESS,0.1,0.446047,train
usfd_020_v7,MODERATE,0.6093,0.6441,0.8723,EXPRESS,0.1,0.455129,train
usfd_020_v8,MODERATE,0.3989,0.5805,0.8361,EXPRESS,0.1,0.423681,train
usfd_020_v9,MODERATE,0.6598,0.5981,0.6904,EXPRESS,0.1,0.444226,train
usfd_021_v0,MODERATE,0.4234,0.552,0.7123,HIGH,0.4,0.422902,train
usfd_021_v1,MODERATE,0.5426,0.5077,0.6075,EXPRESS,0.4,0.433029,train
usfd_021_v2,MODERATE,0.4544,0.6105,0.6741,EXPRESS,0.4,0.43719,train
usfd_021_v3,MODERATE,0.386,0.6137,0.6342,EXPRESS,0.4,0.427018,train
usfd_021_v4,MODERATE,0.2586,0.4537,0.7029,EXPRESS,0.4,0.408072,train
usfd_021_v5,MODERATE,0.5494,0.5894,0.504,HIGH,0.4,0.423831,train
usfd_021_v6,MODERATE,0.4594,0.5587,0.608,EXPRESS,0.4,0.42841,train
usfd_021_v7,MODERATE,0.321,0.5992,0.4477,EXPRESS,0.4,0.405731,train
usfd_021_v8,MODERATE,0.2849,0.5462,0.6768,EXPRESS,0.4,0.415076,train
usfd_021_v9,MODERATE,0.3508,0.4858,0.6787,EXPRESS,0.4,0.417122,train
usfd_022_v0,MINOR,0.5378,0.4526,0.6572,EXPRESS,0.0,0.383075,train
usfd_022_v1,MINOR,0.601,0.2911,0.4838,EXPRESS,0.0,0.366482,train
usfd_022_v2,MINOR,0.6963,0.3755,0.5432,EXPRESS,0.0,0.38644,train
usfd_022_v3,MINOR,0.6229,0.3875,0.7356,EXPRESS,0.0,0.390935,train
usfd_022_v4,MINOR,0.54,0.4091,0.6797,EXPRESS,0.0,0.381035,train
usfd_022_v5,MINOR,0.656,0.2874,0.7088,EXPRESS,0.0,0.383911,train
usfd_022_v6,MINOR,0.7182,0.329,0.8712,EXPRESS,0.0,0.404361,train
usfd_022_v7,MINOR,0.6059,0.3532,0.7543,EXPRESS,0.0,0.387403,train
usfd_022_v8,MINOR,0.4918,0.3613,0.7987,EXPRESS,0.0,0.379753,train
usfd_022_v9,MINOR,0.6087,0.4298,0.7228,EXPRESS,0.0,0.392341,train
usfd_023_v0,MINOR,0.2728,0.5642,0.7807,EXPRESS,0.0,0.373188,train
usfd_023_v1,MINOR,0.3382,0.5777,0.6409,EXPRESS,0.0,0.372042,train
usfd_023_v2,MINOR,0.2751,0.4718,0.5659,EXPRESS,0.0,0.354773,train
usfd_023_v3,MINOR,0.3558,0.458,0.5076,EXPRESS,0.0,0.357939,train
usfd_023_v4,MINOR,0.1622,0.4364,0.7253,EXPRESS,0.0,0.351935,train
usfd_023_v5,MINOR,0.3074,0.5927,0.7218,HIGH,0.0,0.368786,train
usfd_023_v6,MINOR,0.3179,0.5364,0.7122,EXPRESS,0.0,0.371298,train
usfd_023_v7,MINOR,0.2613,0.433,0.7747,HIGH,0.0,0.356852,train
usfd_023_v8,MINOR,0.352,0.582,0.7993,EXPRESS,0.0,0.383201,train
usfd_023_v9,MINOR,0.4121,0.6009,0.5359,EXPRESS,0.0,0.375313,train
usfd_024_v0,SEVERE,0.7133,0.8573,0.7389,EXPRESS,0.1,0.507104,train
usfd_024_v1,SEVERE,0.9103,0.8845,0.8131,HIGH,0.4,0.548798,train
usfd_024_v2,SEVERE,0.7661,0.725,0.7907,EXPRESS,0.4,0.523139,train
usfd_024_v3,SEVERE,0.9897,0.7943,0.4622,EXPRESS,0.4,0.535817,train
usfd_024_v4,SEVERE,0.9283,0.7804,0.7203,HIGH,0.4,0.532723,train
usfd_024_v5,SEVERE,0.9971,0.7809,0.634,HIGH,0.1,0.519796,train
usfd_024_v6,SEVERE,0.7426,0.8407,0.7052,EXPRESS,0.4,0.524196,train
usfd_024_v7,SEVERE,0.997,0.8038,0.7339,HIGH,0.4,0.546261,train
usfd_024_v8,SEVERE,0.8096,0.7398,0.7527,EXPRESS,0.4,0.527221,train
usfd_024_v9,SEVERE,0.9984,0.7565,0.5852,EXPRESS,0.4,0.541998,train
usfd_025_v0,CRITICAL,0.8781,0.9111,0.5315,EXPRESS,0.4,0.560457,train
usfd_025_v1,CRITICAL,0.9447,0.7817,0.531,HIGH,0.4,0.541643,train
usfd_025_v2,CRITICAL,0.6793,0.8796,0.5536,EXPRESS,0.4,0.531177,train
usfd_025_v3,CRITICAL,0.864,0.8594,0.3803,EXPRESS,0.4,0.542478,train
usfd_025_v4,CRITICAL,0.7085,0.7352,0.7176,HIGH,0.4,0.519267,train
usfd_025_v5,CRITICAL,0.8936,0.7514,0.4581,EXPRESS,0.4,0.540886,train
usfd_025_v6,CRITICAL,0.6854,0.9201,0.3729,EXPRESS,0.4,0.522921,train
usfd_025_v7,CRITICAL,0.7447,0.736,0.472,HIGH,0.4,0.505221,train
usfd_025_v8,CRITICAL,0.8087,0.7152,0.4977,EXPRESS,0.4,0.528483,train
usfd_025_v9,CRITICAL,0.7671,0.8048,0.4414,HIGH,0.4,0.512764,train
usfd_026_v0,MINOR,0.718,0.6252,0.8983,EXPRESS,0.0,0.433849,train
usfd_026_v1,MINOR,0.7867,0.5926,0.5236,EXPRESS,0.0,0.415938,train
usfd_026_v2,MINOR,0.7669,0.4987,0.7933,EXPRESS,0.0,0.420624,train
usfd_026_v3,MINOR,0.7251,0.6116,0.8656,HIGH,0.0,0.424813,train
usfd_026_v4,MINOR,0.655,0.5703,0.8744,EXPRESS,0.0,0.419632,train
usfd_026_v5,MINOR,0.8183,0.5047,0.5123,EXPRESS,0.0,0.410625,train
usfd_026_v6,MINOR,0.5558,0.575,0.7332,EXPRESS,0.0,0.399703,train
usfd_026_v7,MINOR,0.678,0.6889,0.6922,EXPRESS,0.0,0.421382,train
usfd_026_v8,MINOR,0.6853,0.5098,0.8807,EXPRESS,0.0,0.418035,train
usfd_026_v9,MINOR,0.7562,0.6738,0.7683,HIGH,0.0,0.428129,train
usfd_027_v0,CRITICAL,0.7884,0.7957,0.6499,EXPRESS,0.4,0.545249,train
usfd_027_v1,CRITICAL,0.7628,0.8054,0.6604,EXPRESS,0.4,0.543563,train
usfd_027_v2,CRITICAL,0.7166,0.9046,0.4212,EXPRESS,0.4,0.529069,train
usfd_027_v3,CRITICAL,0.7624,0.7693,0.6899,EXPRESS,0.4,0.542335,train
usfd_027_v4,CRITICAL,0.8135,0.8373,0.739,EXPRESS,0.4,0.559916,train
usfd_027_v5,CRITICAL,0.7693,0.7907,0.6605,EXPRESS,0.4,0.543012,train
usfd_027_v6,CRITICAL,0.8531,0.9437,0.6345,EXPRESS,0.4,0.567882,train
usfd_027_v7,CRITICAL,0.8787,0.7625,0.657,HIGH,0.4,0.539947,train
usfd_027_v8,CRITICAL,0.706,0.8891,0.6614,EXPRESS,0.4,0.543976,train
usfd_027_v9,CRITICAL,0.8778,0.9114,0.7324,EXPRESS,0.4,0.575877,train
usfd_028_v0,MINOR,0.7364,0.7027,0.7666,HIGH,0.4,0.45172,train
usfd_028_v1,MINOR,0.7991,0.6035,0.4617,EXPRESS,0.4,0.433122,train
usfd_028_v2,MINOR,0.6142,0.618,0.392,EXPRESS,0.4,0.407484,train
usfd_028_v3,MINOR,0.7359,0.6602,0.4463,EXPRESS,0.4,0.429615,train
usfd_028_v4,MINOR,0.5474,0.6992,0.5956,EXPRESS,0.4,0.421131,train
usfd_028_v5,MINOR,0.6818,0.624,0.6782,EXPRESS,0.4,0.436771,train
usfd_028_v6,MINOR,0.5604,0.5905,0.4525,EXPRESS,0.4,0.403118,train
usfd_028_v7,MINOR,0.7618,0.6044,0.6543,EXPRESS,0.4,0.442839,train
usfd_028_v8,MINOR,0.6461,0.6046,0.8115,HIGH,0.4,0.435191,train
usfd_028_v9,MINOR,0.7032,0.6366,0.661,EXPRESS,0.4,0.439199,train
usfd_029_v0,CRITICAL,1.0,0.7991,0.7151,EXPRESS,0.4,0.580327,train
usfd_029_v1,CRITICAL,0.9723,0.8022,0.4919,HIGH,0.1,0.530902,train
usfd_029_v2,CRITICAL,0.9187,0.7615,0.7358,HIGH,0.1,0.534433,train
usfd_029_v3,CRITICAL,0.9912,0.9307,0.6371,EXPRESS,0.1,0.571317,train
usfd_029_v4,CRITICAL,1.0,0.7744,0.9017,HIGH,0.1,0.559282,train
usfd_029_v5,CRITICAL,0.9045,0.9442,0.7818,EXPRESS,0.1,0.569468,train
usfd_029_v6,CRITICAL,1.0,0.8735,0.483,HIGH,0.1,0.542228,train
usfd_029_v7,CRITICAL,0.9779,0.9203,0.6842,EXPRESS,0.1,0.571253,train
usfd_029_v8,CRITICAL,1.0,0.7776,0.8948,HIGH,0.1,0.559116,train
usfd_029_v9,CRITICAL,1.0,0.8948,0.5953,EXPRESS,0.1,0.56614,train
usfd_030_v0,CRITICAL,0.7815,0.8666,0.5768,EXPRESS,0.4,0.54566,train
usfd_030_v1,CRITICAL,0.8824,0.9512,0.5293,EXPRESS,0.4,0.565028,train
usfd_030_v2,CRITICAL,0.8965,0.933,0.4841,HIGH,0.4,0.547147,train
usfd_030_v3,CRITICAL,0.8073,0.9205,0.6937,EXPRESS,0.4,0.563642,train
usfd_030_v4,CRITICAL,0.7425,0.9246,0.7072,EXPRESS,0.4,0.556026,train
